type	latitude	longitude	name
W	37.3373750867	-121.879841325	205
W	37.3373749065	-121.879841099	206
W	37.3373747263	-121.879840874	207
W	37.3373746362	-121.879840648	208
W	37.337374456	-121.879840309	209
W	37.3373741857	-121.879840084	210
W	37.3373740055	-121.879839858	211
W	37.3373739154	-121.879839632	212
W	37.3373737352	-121.879839407	213
W	37.3373734649	-121.879839181	214
W	37.3373732847	-121.879838955	215
W	37.3373731044	-121.87983873	216
W	37.3373730143	-121.879838617	217
W	37.337372744	-121.879838278	218
W	37.3373725638	-121.879838165	219
W	37.3373724737	-121.879838053	220
W	37.3373723836	-121.879837827	221
W	37.3373721133	-121.879837601	222
W	37.3373715727	-121.87983715	223
W	37.3373714826	-121.879836924	224
W	37.3373713024	-121.879836811	225
W	37.337371032	-121.879836473	226
W	37.3373709419	-121.87983636	227
W	37.3373705815	-121.879836134	228
W	37.3373704914	-121.879836021	229
W	37.3373703112	-121.879835796	230
W	37.337370131	-121.87983557	231
W	37.3373699508	-121.879835344	232
W	37.3373695904	-121.879834893	233
W	37.3373695904	-121.87983478	234
W	37.33736923	-121.879834442	235
W	37.3373690497	-121.879834216	236
W	37.3373688695	-121.87983399	237
W	37.3373685992	-121.879833539	238
W	37.3373685091	-121.879833426	239
W	37.3373682388	-121.879833087	240
W	37.3373680586	-121.879832862	241
W	37.3373676081	-121.879832298	242
W	37.337367518	-121.879832072	243
W	37.3373672477	-121.879831846	244
W	37.3373670674	-121.87983162	245
W	37.3373668872	-121.879831282	246
W	37.3373664367	-121.879830831	247
W	37.3373663466	-121.879830718	248
W	37.3373660763	-121.879830379	249
W	37.337365806	-121.879830153	250
W	37.3373657159	-121.879829928	251
W	37.3373653555	-121.879829251	252
W	37.3373650851	-121.879829025	253
W	37.3373649049	-121.879828799	254
W	37.3373647247	-121.879828574	255
W	37.3373644544	-121.879828235	256
W	37.3373643643	-121.879828009	257
W	37.337364094	-121.879827784	258
W	37.3373639138	-121.879827445	259
W	37.3373637336	-121.87982722	260
W	37.3373634633	-121.879826881	261
W	37.3373631929	-121.879826655	262
W	37.3373630127	-121.87982643	263
W	37.3373628325	-121.879826204	264
W	37.3373626523	-121.879825978	265
W	37.337362382	-121.87982564	266
W	37.3373620216	-121.879825188	267
W	37.3373618414	-121.879824963	268
W	37.3373615711	-121.879824511	269
W	37.3373613909	-121.879824398	270
W	37.3373608502	-121.879823834	271
W	37.33736067	-121.879823609	272
