type	latitude	longitude	name
W	37.3372072637	-121.879855481	288
W	37.3371389	-121.8799411	289
W	37.3372072637	-121.879855481	290
W	37.3371389	-121.8799411	291
W	37.3372072637	-121.879855481	292
W	37.3371389	-121.8799411	293
W	37.3372072637	-121.879855481	294
W	37.3371389	-121.8799411	295
W	37.3372072637	-121.879855481	296
W	37.3371389	-121.8799411	297
W	37.3372072637	-121.879855481	298
W	37.3371389	-121.8799411	299
W	37.3372072637	-121.879855481	300
W	37.3371389	-121.8799411	301
W	37.3372072637	-121.879855481	302
W	37.3371389	-121.8799411	303
W	37.3372072637	-121.879855481	304
W	37.3371389	-121.8799411	305
W	37.3372072637	-121.879855481	306
W	37.3371389	-121.8799411	307
W	37.3372072637	-121.879855481	308
W	37.3371389	-121.8799411	309
W	37.3372072637	-121.879855481	310
W	37.3371389	-121.8799411	311
W	37.3372072637	-121.879855481	312
W	37.3371389	-121.8799411	313
W	37.3372072637	-121.879855481	314
W	37.3371389	-121.8799411	315
W	37.3372072637	-121.879855481	316
W	37.3371389	-121.8799411	317
W	37.3372072637	-121.879855481	318
W	37.3371389	-121.8799411	319
W	37.3372072637	-121.879855481	320
W	37.3371389	-121.8799411	321
W	37.3372072637	-121.879855481	322
W	37.3371389	-121.8799411	323
W	37.3372072637	-121.879855481	324
W	37.3371389	-121.8799411	325
W	37.3372072637	-121.879855481	326
W	37.3371389	-121.8799411	327
W	37.3372072637	-121.879855481	328
W	37.3371389	-121.8799411	329
W	37.3372072637	-121.879855481	330
W	37.3371389	-121.8799411	331
W	37.3372072637	-121.879855481	332
W	37.3371389	-121.8799411	333
W	37.3372072637	-121.879855481	334
W	37.3371389	-121.8799411	335
W	37.3372072637	-121.879855481	336
W	37.3371389	-121.8799411	337
W	37.3372072637	-121.879855481	338
W	37.3371389	-121.8799411	339
W	37.3372072637	-121.879855481	340
W	37.3371389	-121.8799411	341
W	37.3372072637	-121.879855481	342
W	37.3371389	-121.8799411	343
W	37.3372072637	-121.879855481	344
W	37.3371389	-121.8799411	345
W	37.3372072637	-121.879855481	346
W	37.3371389	-121.8799411	347
W	37.3372072637	-121.879855481	348
W	37.3371389	-121.8799411	349
W	37.3372072637	-121.879855481	350
W	37.3371389	-121.8799411	351
W	37.3372072637	-121.879855481	352
W	37.3371389	-121.8799411	353
W	37.3372072637	-121.879855481	354
W	37.3371389	-121.8799411	355
W	37.3372072637	-121.879855481	356
W	37.3371389	-121.8799411	357
W	37.3372072637	-121.879855481	358
W	37.3371389	-121.8799411	359
W	37.3372072637	-121.879855481	360
W	37.3371389	-121.8799411	361
W	37.3372072637	-121.879855481	362
W	37.3371389	-121.8799411	363
W	37.3372072637	-121.879855481	364
W	37.3371389	-121.8799411	365
W	37.3372072637	-121.879855481	366
W	37.3371389	-121.8799411	367
W	37.3372072637	-121.879855481	368
W	37.3371389	-121.8799411	369
W	37.3372072637	-121.879855481	370
W	37.3371389	-121.8799411	371
W	37.3372072637	-121.879855481	372
W	37.3371389	-121.8799411	373
W	37.3372072637	-121.879855481	374
W	37.3371389	-121.8799411	375
W	37.3372072637	-121.879855481	376
W	37.3371389	-121.8799411	377
W	37.3372072637	-121.879855481	378
W	37.3371389	-121.8799411	379
W	37.3372072637	-121.879855481	380
W	37.3371389	-121.8799411	381
W	37.3372072637	-121.879855481	382
W	37.3371389	-121.8799411	383
W	37.3372072637	-121.879855481	384
W	37.3371389	-121.8799411	385
W	37.3372072637	-121.879855481	386
W	37.3371389	-121.8799411	387
W	37.3372072637	-121.879855481	388
W	37.3371389	-121.8799411	389
W	37.3372072637	-121.879855481	390
W	37.3371389	-121.8799411	391
W	37.3372072637	-121.879855481	392
W	37.3371389	-121.8799411	393
W	37.3372072637	-121.879855481	394
W	37.3371389	-121.8799411	395
W	37.3372072637	-121.879855481	396
W	37.3371389	-121.8799411	397
W	37.3372072637	-121.879855481	398
W	37.3371389	-121.8799411	399
W	37.3372072637	-121.879855481	400
W	37.3371389	-121.8799411	401
W	37.3372072637	-121.879855481	402
W	37.3371389	-121.8799411	403
W	37.3372072637	-121.879855481	404
W	37.3371389	-121.8799411	405
W	37.3372072637	-121.879855481	406
W	37.3371389	-121.8799411	407
W	37.3372072637	-121.879855481	408
W	37.3371389	-121.8799411	409
W	37.3372072637	-121.879855481	410
W	37.3371389	-121.8799411	411
W	37.3372072637	-121.879855481	412
W	37.3371389	-121.8799411	413
W	37.3372072637	-121.879855481	414
W	37.3371389	-121.8799411	415
W	37.3372072637	-121.879855481	416
W	37.3371389	-121.8799411	417
W	37.3372072637	-121.879855481	418
W	37.3371389	-121.8799411	419
W	37.3372072637	-121.879855481	420
W	37.3371389	-121.8799411	421
W	37.3372072637	-121.879855481	422
W	37.3371389	-121.8799411	423
W	37.3372072637	-121.879855481	424
W	37.3371389	-121.8799411	425
W	37.3372072637	-121.879855481	426
W	37.3371389	-121.8799411	427
W	37.3372072637	-121.879855481	428
W	37.3371389	-121.8799411	429
W	37.3372072637	-121.879855481	430
W	37.3371389	-121.8799411	431
W	37.3372072637	-121.879855481	432
W	37.3371389	-121.8799411	433
W	37.3372072637	-121.879855481	434
W	37.3371389	-121.8799411	435
W	37.3372072637	-121.879855481	436
W	37.3371389	-121.8799411	437
W	37.3372072637	-121.879855481	438
W	37.3371389	-121.8799411	439
W	37.3372072637	-121.879855481	440
W	37.3371389	-121.8799411	441
W	37.3372072637	-121.879855481	442
W	37.3371389	-121.8799411	443
W	37.3372072637	-121.879855481	444
W	37.3371389	-121.8799411	445
W	37.3372072637	-121.879855481	446
W	37.3371389	-121.8799411	447
W	37.3372072637	-121.879855481	448
W	37.3371389	-121.8799411	449
W	37.3372072637	-121.879855481	450
W	37.3371389	-121.8799411	451
W	37.3372072637	-121.879855481	452
W	37.3371389	-121.8799411	453
W	37.3372072637	-121.879855481	454
W	37.3371389	-121.8799411	455
W	37.3372072637	-121.879855481	456
W	37.3371389	-121.8799411	457
W	37.3372072637	-121.879855481	458
W	37.3371389	-121.8799411	459
W	37.3372072637	-121.879855481	460
